backend,back-end
Block,Blok
block,blok
Boxen,vakken
boxen,vakken
Box,vak
box,vak
date format,datumnotatie
Emails,e-mails
Email,e-mail
email,e-mail
footer,footer
frontend,front-end
Global,Globale
global,globale
Gradient,Gradient
gradient,gradient
Headings,kopteksten
headings,kopteksten
Heading,koptekst
heading,koptekst
Header,header
header,header
Hero,Hero
hero,hero
icons,iconen
icon,icoon
Item,Item
item,item
Keys,Sleutels
Key,sleutel
Layouts,Lay-outs
Layout,lay-out
layout,lay-out
mymarkvar,mymarkvar
Merchant,verkoper
merchant,verkoper
Padding,padding
padding,padding
Radius,Radius
radius,radius
Ratings,Waarderingen
ratings,waarderingen
Rating,Waardering
rating,waardering
Review,Beoordeling
review,beoordeling
Saved,Opgeslagen
Sections,Secties
Section,Sectie
sections,secties
section,sectie
sticky,sticky
Websites,sites
websites,sites
Website,site
website,site
<strong>,<strong>
</strong>,</strong>
mymark_var1,mymark_var1
